*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2015 190    65    64    73.0    38.5    21.6    3.57    2.25     12.0    80.6    12.7     9.0    3.25    1.57     2.7    1.3    0.0    5.24    2.46
 2015 191    66    65    74.4    40.9    20.7    3.57    2.20     12.9    81.3    12.0     8.6    3.19    1.54     2.7    1.3    0.9    5.32    2.50
 2015 192    67    66    75.8    43.5    19.6    3.58    2.14     13.4    82.3    11.4     8.3    3.11    1.50     2.6    1.3    0.5    5.41    2.53
 2015 193    68    67    76.9    46.1    18.7    3.58    2.07     13.4    83.5    10.7     7.9    3.03    1.44     2.5    1.3    0.0    5.49    2.56
 2015 194    69    68    74.0    47.6    14.8    3.54    1.83     13.4    83.7     7.5     7.2    2.83    1.34     2.5    1.2    0.0    8.56    2.59
 2015 195    70    69    72.5    49.3    11.9    3.51    1.67     13.4    84.2     5.3     6.7    2.68    1.29     2.4    1.2    0.0   10.71    2.62
 2015 196    71    70    71.7    50.9     9.9    3.51    1.55     13.4    85.0     3.7     6.2    2.57    1.26     2.3    1.2    0.0   12.22    2.65
 2015 197    72    71    71.2    52.2     8.5    3.51    1.45     13.4    85.4     2.6     5.9    2.46    1.23     2.3    1.2    0.0   13.28    2.70
 2015 198    73    72    70.6    53.0     7.4    3.50    1.37     13.4    85.6     1.9     5.6    2.36    1.20     2.2    1.2    0.0   14.03    2.73
 2015 199    74    73    70.3    53.7     6.7    3.50    1.30     13.4    85.8     1.3     5.3    2.28    1.18     2.2    1.2    0.0   14.57    2.79
 2015 200    75    74    69.9    54.2     6.1    3.50    1.25     13.4    85.8     0.9     5.1    2.19    1.16     2.1    1.1    0.0   14.95    2.85
 2015 201    76    75    69.7    54.6     5.6    3.51    1.20     13.4    85.8     0.7     5.0    2.12    1.14     2.1    1.1    0.0   15.22    2.91
 2015 202    77    76    69.5    54.9     5.3    3.51    1.18     13.4    85.8     0.5     4.8    2.09    1.13     2.0    1.1    0.0   15.42    2.97

*DSSAT Cropping System Model Ver. 4.7.5.007 -  JAN 21, 2026 10:11:01
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2015 148     1     0     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 149     2     1     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
 2015 150     3     2     0.0     0.0     0.0    0.00    0.00      0.0     0.0     0.0     0.0    0.00    0.00     0.0    0.0    0.0    0.00    0.00
